ref,imageLink,title,description,creationYear
https://mubi.com/en/ru/films/close-2022,https://images.mubicdn.net/images/film/339480/cache-772871-1696583382/image-w1280.jpg?size=800x,Close,"Thirteen-year-olds Leo and Remi are inseparable; they spend every waking moment together, playing in the flower fields and sleeping at each other’s houses. However as they start a new school year, the pressures of early adolescence challenge their bond with unexpected and far-reaching consequences.",2022
https://mubi.com/en/ru/films/in-the-mood-for-love,https://images.mubicdn.net/images/film/198/cache-8022-1581326941/image-w1280.jpg?size=800x,In the Mood for Love,"In the sleepy, proper Hong Kong of 1962, Mrs. Chan and Mr. Chow, a journalist, move into neighbouring apartments on the same day. Their encounters are formal and polite—until a discovery about their respective spouses creates an intimate bond between them.",2000
https://mubi.com/en/ru/films/aftersun,https://images.mubicdn.net/images/film/340287/cache-774789-1672938813/image-w1280.jpg?size=800x,Aftersun,"At a fading vacation resort, 11-year-old Sophie treasures rare time together with her loving and idealistic father, Calum. Twenty years later, Sophie’s tender recollections of their last holiday become a powerful and heartrending portrait of their relationship.",2022
https://mubi.com/en/ru/films/portrait-de-la-jeune-fille-en-feu,https://images.mubicdn.net/images/film/224497/cache-412234-1582022611/image-w1280.jpg?size=800x,Portrait of a Lady on Fire,"In late 18th century France, painter Marianne is commissioned by a countess to paint the wedding portrait of her daughter Héloïse. While posing as her hired companion, Marianne is instructed to complete the portrait in secret. However, intimacy and attraction begin to blossom between both women.",2019
https://mubi.com/en/ru/films/where-is-the-friends-home,https://images.mubicdn.net/images/film/3062/cache-91180-1622045897/image-w1280.jpg?size=800x,Where Is the Friend's House?,"8-year-old Ahmed has mistakenly taken his friend Mohammad’s notebook. He wants to return it, or else his friend will be expelled from school. Determinedly, the conscientious boy sets out to find Mohammad’s home in the neighbouring village.",1987
https://mubi.com/en/ru/films/perfect-days,https://images.mubicdn.net/images/film/343977/cache-903999-1711023881/image-w1280.jpg?size=800x,Perfect Days,"Hirayama lives a life of blissful contentment, spending his days balancing his job as a caretaker of Tokyo’s public toilets with his passion for music, literature, and photography. His structured routine is slowly interrupted by unexpected encounters that force him to reconnect with his past.",2023
https://mubi.com/en/ru/films/leila-s-brothers,https://images.mubicdn.net/images/film/339533/cache-789807-1654672996/image-w1280.jpg?size=800x,Leila's Brothers,"At 40 years old, Leila has spent her whole life taking care of her parents and her four brothers. The family argues constantly and is crushed by debts, in a country caught in the grip of international economic sanctions. As her brothers are trying to make ends meet, Leila formulates a plan.",2022
https://mubi.com/en/ru/films/my-life-as-a-courgette,https://images.mubicdn.net/images/film/153477/cache-133654-1567584049/image-w1280.jpg?size=800x,My Life as a Courgette,"After his abusive mother’s sudden death, Courgette is befriended by police officer Raymond, who accompanies him to the orphanage. At first Courgette struggles to find his place in this strange environment. Yet with Raymond’s help and his new friends, he eventually learns to trust, and finds love.",2016
https://mubi.com/en/ru/films/the-godfather,https://images.mubicdn.net/images/film/488/cache-47680-1543371300/image-w1280.jpg?size=800x,The Godfather,"In this Oscar-winning chronicle of a Sicilian mafia dynasty, The Corleones, the aging patriarch attempts to entrust the family business onto his youngest son, Michael, an idealistic WWII hero hesitant to follow in his father’s footsteps. Based on the novel by Mario Puzo.",1972
https://mubi.com/en/ru/films/the-gleaners-i,https://images.mubicdn.net/images/film/1565/cache-8918-1679495043/image-w1280.jpg?size=800x,The Gleaners and I,"With a digital camcorder in hand, Agnès Varda sets out to make a documentary about the lives of gatherers, recyclers, and treasure hunters she encounters in the cities and countryside of France. Often sidetracked, Varda finds time to reflect on everything from aging to the birth of cinema.",2000
https://mubi.com/en/ru/films/drive-my-car,https://images.mubicdn.net/images/film/293319/cache-683932-1651858656/image-w1280.jpg?size=800x,Drive My Car,"Two years after his wife’s death, Yusuke Kafuku receives an offer to direct a play at a theater festival in Hiroshima. There, he meets Misaki, a reserved young woman assigned to be his chauffeur. As they spend time together, Kafuku starts to confront the mystery of his wife that quietly haunts him.",2021
https://mubi.com/en/ru/films/paris-texas,https://images.mubicdn.net/images/film/1502/cache-831156-1712832555/image-w1280.jpg?size=800x,"Paris, Texas","Travis walks out of the Texas desert after disappearing for four years. He is picked up by his brother Walt, who has been looking after Travis’ son Hunter. After slowly reconnecting with Hunter, Travis tries to bring his family back together by traveling to Houston in search of his estranged wife.",1984
https://mubi.com/en/ru/films/chungking-express,https://images.mubicdn.net/images/film/226/cache-8030-1617296968/image-w1280.jpg?size=800x,Chungking Express,"In Hong Kong, two lovelorn and lonely police officers cross paths with two mysterious women. Cop 223 falls for a mysterious woman in a blonde wig, not knowing she is a big-time heroin smuggler. Meanwhile, Cop 663 visits a late-night diner, and the new server becomes secretly infatuated with him.",1994
https://mubi.com/en/ru/films/la-haine,https://images.mubicdn.net/images/film/216/cache-36729-1679517324/image-w1280.jpg?size=800x,La Haine,"A regular housing estate with no specific problems wakes up one morning in a state of siege after learning that a 16-year-old resident, Abdel, is between life and death after being injured by a police inspector. Three of his friends wander around the city, waiting for news about his well-being.",1995
https://mubi.com/en/ru/films/the-400-blows,https://images.mubicdn.net/images/film/151/cache-47673-1695914109/image-w1280.jpg?size=800x,The 400 Blows,"Misunderstood Parisian 14-year-old Antoine Doinel journeys through a life of aloof parents, oppressive teachers, and petty crime. A loner on the brink of rebellion, Antoine is buoyed along the way by a touching friendship, a love of cinema, and the hope of escape.",1959
https://mubi.com/en/ru/films/night-and-fog,https://images.mubicdn.net/images/film/238/cache-8037-1712139676/image-w1280.jpg?size=700x,Night and Fog,"Just a decade after the liberation of France and the end of World War II, Alain Resnais (Hiroshima mon amour) made Night and Fog, the most acclaimed of his documentary shorts. An immensely powerful, stark and startling film that dauntlessly depicts the many atrocities and horrors of the Holocaust.",1956
https://mubi.com/en/ru/films/2001-a-space-odyssey,https://images.mubicdn.net/images/film/303/cache-8073-1543575616/image-w1280.jpg?size=800x,2001: A Space Odyssey,A mysterious black monolith encountered by our prehistoric past leaps millennia and connects to a future of colonised space. Where astronaut Bowman is about to explore uncharted territory. A poetic meditation on technology and humanity adapted from a story by the revered Arthur C. Clarke.,1968
https://mubi.com/en/ru/films/so-long-my-son,https://images.mubicdn.net/images/film/226228/cache-403500-1576032290/image-w1280.jpg?size=700x,"So Long, My Son","China’s one-child policy is the historical backdrop for this sweeping chronicle of family and loss, a journey at once intimate and epic between a tragic past and a resilient present. Above all, its humanist beauty lies in the heart-wrenching performances, which won Best Actress and Actor in Berlin.",2019
https://mubi.com/en/ru/films/all-about-my-mother,https://images.mubicdn.net/images/film/309/cache-50190-1549280223/image-w1280.jpg?size=800x,All About My Mother,"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.",1999
https://mubi.com/en/ru/films/seven-samurai,https://images.mubicdn.net/images/film/165/cache-47740-1531855498/image-w1280.jpg?size=800x,Seven Samurai,"A sixteenth century farming village requests protection from the seven samurai against a horde of bandits who have warned they will return when the crops are ripe. A gripping three hour ride that inspired the Hollywood remake, The Magnificent Seven.",1954
https://mubi.com/en/ru/films/stalker,https://images.mubicdn.net/images/film/115/cache-859009-1677692554/image-w1280.jpg?size=800x,Stalker,"A hired guide leads his two clients—a writer looking for inspiration and a professor seeking scientific discovery—through a hazardous wasteland and into the heart of the Zone, the restricted site of a long-ago disaster. Within the Zone is the Room: a place rumored to fulfil one’s deepest desires.",1979
https://mubi.com/en/ru/films/apocalypse-now,https://images.mubicdn.net/images/film/1537/cache-29806-1711623742/image-w1280.jpg?size=800x,Apocalypse Now,"Vietnam, 1970. Captain Willard takes a journey upriver to assassinate Colonel Kurtz, a once-promising officer who has gone completely mad. In the company of a Navy patrol boat filled with street-smart kids, an Air Cavalry officer, and a freelance photographer, Willard ventures into enemy territory.",1979
